Timestamp,Open,High,Low,Close,Volume,SMA,EMA,RSI,MACD,MACD_signal,ATR,BB_width,std_dev,SAR,ADX,SMA_5,EMA_5,RSI_5,MACD_5,SMA_10,EMA_10,RSI_10,MACD_10,SMA_20,EMA_20,RSI_20,MACD_20,SMA_ROC,SMA_Diff,EMA_ROC,EMA_Diff,RSI_ROC,RSI_Diff,MACD_ROC,MACD_Diff
1650067200000,0.7859,0.7999,0.7658,0.7808,206493032.0,0.5191268349029959,0.5339783363792917,0.5345460750564713,0.5478480665431575,-0.012337460604086036,0.042008923306104416,0.2551727499298312,0.043444748288444635,0.6802,19.155449681313083,0.7751685714285715,0.769586025916481,43.64746892192361,-0.019071730925001983,0.7955685714285714,0.7806116880295215,42.07808568344468,-0.012129677382379012,0.8149167857142856,0.7904904912370783,48.097681905909965,0.0034024932339990267,0.4803793206308892,0.41513094083414037,0.528260358975709,0.5147670380569993,0.36771236031013105,0.44491856238847716,0.7260840205145914,0.4790643826111032
1650153600000,0.7808,0.7861,0.7477,0.7519,188468510.0,0.5114288845981975,0.5316308729539073,0.4463550158759352,0.549807763507672,-0.012847682794909429,0.041751143069954096,0.24425053451641854,0.037471428676167845,0.682594,18.309783057949655,0.7694099999999999,0.7678618876785169,45.2664133156306,-0.018268308975365622,0.788725,0.7776665831518972,42.0752628504401,-0.013966244646325487,0.8118189285714286,0.7880069781740336,47.23307625472586,0.0013983915674114112,0.4096182271819252,0.3218234723569298,0.46585306417384215,0.43474974971070146,0.27491990611889566,0.3322457822639989,0.7362535035052902,0.376617949328339
1650240000000,0.7519,0.7699,0.7266,0.7699,257757252.0,0.5066988187482612,0.5325228524089244,0.506407675488952,0.5654767863399071,-0.012899863589058647,0.04186177570781452,0.22972757458722975,0.0325304455873273,0.68494012,18.057530430774214,0.7648228571428571,0.7669563016886481,47.19362209755354,-0.016685590251572256,0.7819735714285715,0.7753899552531722,42.89504873128529,-0.015126333019544802,0.8081921428571428,0.785829658734154,46.612826901590985,-0.0005379090724211777,0.46051023169715527,0.390106692531523,0.505769752358378,0.4859744325673969,0.4725647790968207,0.5633452519325595,0.729204691387646,0.4339207610793643
1650326400000,0.7698,0.786,0.7588,0.7749,199132020.0,0.5031997504278982,0.534108803424666,0.5230046334509034,0.5825792393879015,-0.012553044027789319,0.0408145060143992,0.20940527981522714,0.028192128314500752,0.6872393176,17.314555283376453,0.7609085714285715,0.7667861274861173,49.167829532291435,-0.014478439225790285,0.7754292857142857,0.7737637414036963,43.65042983612646,-0.01576154376187282,0.8041692857142857,0.7839835745446205,46.00722298447987,-0.002393439099954725,0.4817699798771178,0.41842870999029735,0.5143178062779863,0.49694807044962164,0.4096178738158947,0.49560147373159624,0.7272776949300102,0.4399122724493937
1650412800000,0.7749,0.7753,0.742,0.7517,220246970.0,0.5025420942134685,0.5317114283070427,0.44882053508151165,0.5808070941662866,-0.012315851151742326,0.04027775558479925,0.2061113464809533,0.028128817689614356,0.689492531248,17.05462071336304,0.7574814285714286,0.7660173100586053,48.06985749647094,-0.013128238972248397,0.76957,0.7720757293673117,44.1290498752282,-0.016100338004302182,0.8000425,0.7821260599456406,45.75225537218965,-0.004071607194461579,0.5318114028352372,0.4838021338506264,0.4652425953532802,0.43396050578815715,0.29164771354300056,0.3540814542335593,0.7384565860443985,0.36101943979259205
1650499200000,0.7517,0.7686,0.718,0.7328,241310449.0,0.49796379518224676,0.5265609330602348,0.39292775446527395,0.5672869229001579,-0.012433272346199018,0.04101505875731359,0.20033154435331918,0.02667471948007779,0.69170068062304,17.375263777657807,0.7538957142857143,0.764096779542327,46.5400206915685,-0.012686592175630129,0.7645321428571428,0.7699266364841224,45.09374480674605,-0.015879161550316056,0.7956103571428572,0.7800431699035909,45.22216378607318,-0.0057185296936397515,0.4623680712979578,0.393598448108631,0.4311835744150633,0.3904259504060966,0.3089973650074507,0.3825960777649604,0.7463301705138922,0.31191455080166136
1650585600000,0.7328,0.7387,0.7142,0.7179,220757625.0,0.49484414390867015,0.5196747220919152,0.3509576009867613,0.5475254353646799,-0.012976186212039893,0.03983541170321976,0.19668390938149877,0.0277980748799832,0.6938646670105793,17.75876639279344,0.7510857142857142,0.7609339494865962,45.50948681868569,-0.012738446199070209,0.7602478571428571,0.7671414824643062,45.387950067158144,-0.015503377587217915,0.7910296428571428,0.7776207999280385,44.619702289887215,-0.0073668760426410015,0.487914470482389,0.4271580989330717,0.40928652804331533,0.3629794138729999,0.3244317305240059,0.40430028064186,0.7489437372212544,0.2858268368825376
1650672000000,0.7178,0.7267,0.7023,0.7057,163036743.0,0.49008035209901957,0.5117231913285045,0.31747899399327584,0.5249952384019922,-0.013922398720625536,0.03873288229584692,0.18175666639449478,0.02929923769777161,0.6959853736703676,18.38570368053618,0.74827,0.756651694366103,43.46857820426915,-0.013658178596932724,0.7565464285714285,0.7636770645844535,45.331100150911354,-0.01517188442425249,0.7861132142857142,0.7748080741917649,43.739041638362714,-0.009122795534962308,0.45834529476938685,0.3893307468477193,0.3953250787681635,0.34613371828298,0.3344092125859145,0.4175378862910316,0.7486061404283834,0.2742540698018282
1650758400000,0.7057,0.7119,0.6944,0.6981,144945400.0,0.4853418547591546,0.5035962533916971,0.2966475321735802,0.5037828158894408,-0.015161310580405976,0.037216247846143566,0.17232350440253427,0.031239550340789193,0.7999,19.14573905189392,0.7452442857142858,0.7515752049913247,41.02334779100437,-0.01544841704429587,0.7530764285714286,0.7596307303403288,45.0955886616479,-0.014963428135043078,0.7810364285714285,0.7716284691937846,43.00155273854061,-0.010904694903191686,0.45833662560630994,0.38991270611056905,0.39224573199212115,0.34336003862269027,0.3529991911285827,0.43725372023172215,0.7463953826218457,0.27976215838146173
1650844800000,0.698,0.6998,0.6451,0.6931,399434752.0,0.48519851943036874,0.4957400050250703,0.28260759027771165,0.4856703608046685,-0.01656395130223362,0.03846508728570474,0.1634833440649703,0.03142222913029374,0.79779,20.79211825529624,0.7423057142857143,0.7460432242418383,39.22782670764055,-0.01760990395269384,0.7498935714285715,0.7551486453226082,43.648842102055745,-0.015369071462471118,0.7760257142857143,0.7681380681510305,42.33296997890545,-0.012668294751198272,0.5408612879586593,0.49563530552861285,0.39476936341826624,0.34764040036915334,0.3636197158814657,0.4478411276808406,0.744122049279477,0.29271953146182506
1650931200000,0.6931,0.7065,0.6276,0.642,355964613.0,0.47902666880264433,0.4806233964193517,0.15875076201283211,0.43782047376836536,-0.018773203418155207,0.041353295336725826,0.20111506060389248,0.040286348681781714,0.7916824,22.594363964514212,0.7390971428571429,0.7382228253980534,36.6981216495693,-0.02055135490425699,0.7464964285714286,0.7492274421204037,41.61907117056891,-0.01661897353994356,0.7710324999999999,0.7637993971511065,41.84857842700679,-0.014374325461161287,0.43196907969310583,0.35693501454898113,0.30067758230567654,0.2328337300855417,0.17066616592993147,0.27664585271695674,0.7537283053689271,0.16842177375152445
1651017600000,0.642,0.663,0.6361,0.6522,277994630.0,0.47304031095334875,0.4691806560233718,0.20747446919798462,0.4102637440330646,-0.021166688311949112,0.04032091709838827,0.21567272615028293,0.045649378027372164,0.781837456,24.26787783735947,0.7354028571428572,0.7298811360483975,35.14814015722571,-0.023669912146601257,0.7432442857142857,0.7426765903438004,40.3288134879557,-0.018204179172835733,0.7659846428571429,0.758980192876267,41.2020381691979,-0.01608521190958061,0.4345476887092439,0.36120271580988983,0.34532556171830314,0.29092789653611184,0.4921080960965816,0.5456843694392792,0.7448684255786638,0.2532439585820194
1651104000000,0.6522,0.6577,0.6333,0.6428,242145728.0,0.46600844835290856,0.45773535829596934,0.18566636159797345,0.38515663050917903,-0.02365190465428017,0.03918370873421768,0.23818376664674382,0.050946427367762365,0.77258320864,25.86866357399996,0.7313242857142858,0.7211912205997787,33.72422963810927,-0.026847016400328515,0.7397971428571428,0.7356101902272079,38.596403921189214,-0.02025259749863062,0.7608853571428571,0.7537260206678386,40.74572632623725,-0.01768946525908771,0.4146362258264482,0.33714839961202414,0.3433254818527762,0.290887457949629,0.34476718754628977,0.4357312117320583,0.7434832940236415,0.2634829665375815
1651190400000,0.6428,0.6464,0.5992,0.6116,322263629.0,0.451320792897313,0.442743590820058,0.11909031822578231,0.3469463391194104,-0.026508207646912828,0.03975630096748784,0.2710764498358155,0.055110472469617075,0.7638842161216,27.878263319781468,0.7255600000000001,0.7112996596472533,31.806161695068273,-0.030410308719911662,0.7354021428571429,0.7275931625026614,36.414754743036326,-0.022929362882103767,0.7554157142857143,0.7478013075209958,40.032592289581395,-0.019345453321988292,0.2721712390462346,0.1610087293889389,0.2937566227333823,0.23480781869211603,0.25167807738140635,0.3659417710778152,0.7459332542825584,0.20871375747261847
1651276800000,0.6115,0.6288,0.5663,0.5845,354754733.0,0.4347697781675002,0.42534479599564834,0.06923460559052819,0.30178459425597276,-0.029819315545198982,0.04138085089838157,0.31362511714532393,0.06016574040665992,0.750709478831872,30.154663170047627,0.7170157142857143,0.6999489951125829,29.50119265021838,-0.03458815530967154,0.7296607142857143,0.7184394358736761,34.364509678929466,-0.026099029631182692,0.7496153571428572,0.7410819125945588,39.24677977707883,-0.021099683817742437,0.23239006523958322,0.11813773035887398,0.25733690624057803,0.19674596142024509,0.2727328417721785,0.3920073581896054,0.7463388659514467,0.1796577824639878
1651363200000,0.5845,0.6125,0.576,0.607,279653905.0,0.42255254926098007,0.41392390017743097,0.17905102934315675,0.28652159771294855,-0.03281497398900979,0.041032218691354316,0.3392837635334406,0.06204648204424024,0.7322685309486848,32.268463031009055,0.7074471428571429,0.6892597669319919,29.720486989973598,-0.038025634486153835,0.7232721428571429,0.7092470494549731,33.209304319771455,-0.029288494695205412,0.743902142857143,0.7341104262181969,39.151524563258754,-0.022583828122760736,0.3092064936230513,0.21784675072744758,0.33562701052618304,0.29127332061344313,0.6680447651813681,0.6409227681671006,0.7399516669056887,0.30462981705760317
1651449600000,0.607,0.6312,0.5984,0.6143,332748235.0,0.4094331509321013,0.4052126276142105,0.21342367808518425,0.28418365758324104,-0.035264618260336535,0.04044420307054329,0.35879159587647824,0.059471472522179575,0.7156716778538164,33.363300161921536,0.69667,0.6797522232306731,29.784753524682504,-0.040890147977857595,0.7160364285714287,0.7004270651591662,32.466446840954106,-0.032280030062229424,0.7381421428571429,0.7271224933744451,38.927198454056125,-0.02389170382472367,0.2881060624196741,0.19709020368573887,0.3716790185910897,0.33412006834839386,0.45877415788886144,0.5233122782479664,0.7376428484605416,0.3586545066499304
1651536000000,0.6143,0.628,0.5961,0.6047,284044788.0,0.3950827550736492,0.39610208592234375,0.19091935389420678,0.28013122002518337,-0.03731640422070267,0.03983390285121877,0.3786359983062847,0.05431513257255262,0.7007345100684347,34.41727281855031,0.6846528571428572,0.6709233213929923,29.841499155594512,-0.04327630358557015,0.7079885714285715,0.6918522383516142,31.782864396851892,-0.035061659992949336,0.7322675000000001,0.7200884953052012,38.556982273881616,-0.025116772208600913,0.259537735932154,0.1687681862269615,0.36464604833035164,0.32780650294703584,0.34382693635796396,0.4346458687154625,0.7379311379510668,0.3514881788281016
1651622400000,0.6047,0.65,0.6039,0.6459,345607731.0,0.38616223872920585,0.39490459687767554,0.3744032859013805,0.31045474737794376,-0.03826888871822369,0.04028148121898887,0.3823852661316684,0.047733405723647836,0.6872910590615913,34.410132452850924,0.6736128571428571,0.6647100304915324,32.59952631682943,-0.04410538500374302,0.6995864285714286,0.6846579129583413,32.202844005948855,-0.037257846861827336,0.7263314285714286,0.7136308714959217,38.64921633379838,-0.02611063749843521,0.36371956412160755,0.2936954413191034,0.47746106609061056,0.45293407186741974,0.7593378969283895,0.7557642078448136,0.7321557555615407,0.4951742699642491
1651708800000,0.646,0.6572,0.5801,0.5981,446938464.0,0.37480502179540154,0.38609542843977396,0.2556660916407153,0.30486738258950935,-0.03915782008880772,0.04291137541763253,0.380665504564361,0.04400537741865892,0.6751919531554321,34.8629359946339,0.6634528571428572,0.6581596832821764,34.613458891100905,-0.044035344690303055,0.6902342857142857,0.6774581085774546,32.05732577065964,-0.0393117499999873,0.7200639285714285,0.7071002157125015,37.85308393635769,-0.027340410731229208,0.3119798689333445,0.23763336566440152,0.3673196273745788,0.33257205984240734,0.20436395328129345,0.2846269308557124,0.7382585124566584,0.3450724260053536
1651795200000,0.5981,0.6164,0.5875,0.6022,363872112.0,0.36504978794802845,0.3791273955604687,0.2724306345642802,0.3076538755643553,-0.039805656641112734,0.04191056288780163,0.37147499874022116,0.03974477089111479,0.6643027578398889,35.28339642628952,0.65371,0.6518879411931185,35.62219530527509,-0.043555223707519006,0.6805785714285715,0.6705283537479179,32.67134114762435,-0.040790429096836424,0.7135374999999999,0.700647286049356,37.145206159096624,-0.02870470131838999,0.3416599180583556,0.2744907856450053,0.3928256920975191,0.3616855798417449,0.4183186616368582,0.4958627245695305,0.7367458278626987,0.380073825758272
1651881600000,0.6022,0.6044,0.5692,0.5808,243420987.0,0.3545188570272254,0.3696092125095063,0.22351505176934583,0.299062580613862,-0.04051911832761523,0.04143123696724437,0.3758112150898063,0.036771597526022666,0.6572,36.0137220261188,0.6444057142857142,0.6451048039330798,35.731207718426205,-0.04321717765311535,0.6705378571428572,0.6634392947779332,32.75798062155435,-0.04205366281548647,0.7068910714285714,0.6940654994599784,36.543397054755026,-0.0301289209941611,0.3227832263885412,0.2566440349175517,0.3542758907551352,0.3213605490871063,0.300701227889218,0.39347294141488875,0.73879214520443,0.33251647349167174
1651968000000,0.5808,0.5833,0.5572,0.5662,335981906.0,0.34339772181142136,0.35898644624020304,0.19189207853104306,0.2864301035938902,-0.04137689494240749,0.040336148612441204,0.3697955175946957,0.033926967457754774,0.64811,36.90078506763433,0.6356485714285715,0.6376787777858094,35.741715609949395,-0.04307406832099721,0.6601507142857144,0.656055191271267,32.79160738277194,-0.04317518595328368,0.6999739285714286,0.6872808540934137,35.69400565198058,-0.03171389172595715,0.30709995266125434,0.24306498545101585,0.33603499390471336,0.3038939885897264,0.3270399055451971,0.42043066299827947,0.7394690651157364,0.3156249722163107
1652054400000,0.5663,0.5789,0.47,0.4873,841979616.33,0.3260457155383929,0.3369524528052166,0.05711439864913892,0.22562232468736465,-0.043444656396395304,0.045233566568695406,0.3972126197420303,0.04223258728247524,0.6372008,38.813958604019135,0.6254628571428572,0.6267046836657949,32.31419143455544,-0.04500144342180497,0.6495378571428572,0.6467281556629941,32.45685887569243,-0.04455341421277399,0.69247,0.6794213911255716,34.43580680936438,-0.033741388547438876,0.16905326777055124,0.0997090203685736,0.16092518035983588,0.12345046353044442,0.11521249392043792,0.25962116500969457,0.7476109291174869,0.11425983714763899
1652140800000,0.4872,0.5371,0.4722,0.513,900790302.0,0.3151690935305178,0.32203464223685774,0.16068518693150258,0.20121610674757012,-0.045653369784151,0.04663831181378859,0.40313680423070647,0.04684903507984521,0.613792688,40.590476887805025,0.6153585714285714,0.6153105544557512,31.288156927293265,-0.04735637897461096,0.6394057142857142,0.6368725448216613,32.95080790919708,-0.04569586183245701,0.6845332142857143,0.6711452866049371,33.65765879406327,-0.03589744573181985,0.3030471100558745,0.24869059165857815,0.2619878814956536,0.2359772849473667,0.6591404953757163,0.631186348596222,0.7408492744915445,0.2664125991176096
1652227200000,0.513,0.5253,0.3646,0.4172,1598443681.35,0.29535509219834233,0.29353066779304626,0.032453623747183025,0.12028737730800265,-0.04925902449175544,0.05478557525566082,0.477860892351519,0.0634143204958987,0.5936617116799999,43.01153243358856,0.6035499999999999,0.5999223662696926,28.69579697029144,-0.05161330706897904,0.62863,0.6245586257445548,32.15899613778327,-0.047584265388249024,0.6759510714285714,0.6614310676305153,32.68415022877736,-0.03843638004172722,0.09870893205589065,0.043064985451015836,0.04081219680913539,0.021141906935419064,0.11396954209641519,0.2698260095016697,0.7485900842899917,0.030157449344503706
1652313600000,0.4172,0.4296,0.3361,0.3856,1567507931.5,0.2736693001020212,0.2636896816572023,0.0,0.041079764520309925,-0.053943128840822564,0.05755089130882791,0.561941782415298,0.078333063205835,0.5570118378111999,45.402170222219716,0.5898514285714286,0.5815059745946503,26.281267895105714,-0.05747462330167221,0.6171285714285715,0.6100340012900113,31.00623780676596,-0.050345900477393776,0.6665825,0.6503112696305094,31.736342323860026,-0.041312965269811604,0.042530537835725246,0.0,0.0,0.0,0.2978107007247304,0.41913574882826,0.7467456688470786,0.03735144447275107
1652400000000,0.3856,0.4659,0.3813,0.4228,698396767.0,0.257750647116852,0.24387548570397222,0.12674871342874505,0.012436363574594544,-0.0583411844663179,0.059482970501054486,0.6001767846567527,0.08449009435405205,0.5253,46.40091895746743,0.57534,0.5638117938670858,25.577554441135497,-0.06369970441501675,0.6054942857142857,0.5951957160394559,30.65963502554244,-0.05338688636800698,0.6567414285714286,0.6387029039459744,31.221249711197167,-0.044224273180478155,0.16364920161583685,0.13268671193016152,0.1514819278531726,0.15855169118196438,0.767526814185053,0.6673187814098224,0.7402547646207445,0.24870184495758046
1652486400000,0.4229,0.441,0.3955,0.4262,442845171.0,0.24440359855990157,0.22725595600972048,0.13803938657321768,0.0,-0.06214218057538026,0.05848418689383631,0.6250939771651713,0.08925146503553656,0.491244,47.32832849734031,0.5615071428571428,0.5474724097192891,26.45174942131687,-0.06882579697487338,0.593485,0.5805771570184086,29.38297042793615,-0.056913620198339177,0.6465357142857143,0.6269020215847131,30.792907216942503,-0.04708573353008326,0.21712455897108096,0.19185257032007547,0.197974597540227,0.20906832999637304,0.4133903858732661,0.48732942269827434,0.7384952968775372,0.31644469537051484
1652572800000,0.4262,0.45,0.4149,0.4481,267739238.0,0.23100596106337956,0.21641287504573947,0.21136311461738744,0.013394352634926832,-0.06487866054061842,0.05681388782999086,0.6269346918832785,0.08931160538890494,0.4659,47.88097329266996,0.5472471428571428,0.5336153251130382,26.99919948742696,-0.07309306838815283,0.5813028571428571,0.5669997022697045,29.143678207360114,-0.060224723681381896,0.6357685714285715,0.6153781294237006,30.600501989009878,-0.0497682368406846,0.20894739289956704,0.19068865179437283,0.2960011996265417,0.30041019499305,0.5508760570848148,0.5840337296726901,0.7359212892477515,0.42441299976639346
1652659200000,0.4481,0.4481,0.4087,0.4231,433909248.0,0.21488495231992444,0.20295102743665472,0.17226872251584502,0.01393943226639538,-0.06705546041630044,0.05557003869927723,0.6530861554970543,0.08878070402173013,0.3361,48.45740050303512,0.5336128571428571,0.5206972173355138,28.509556926241725,-0.07550927170752389,0.5685814285714286,0.5538835749080245,28.602676948266584,-0.06356128938825147,0.62458,0.6039003075711918,30.63700904794546,-0.05217585924254394,0.13220587366916164,0.12803103782734793,0.24366085799685666,0.2590001452333509,0.31120563167143056,0.4087833503767517,0.7371892597814423,0.370705072829712
1652745600000,0.4231,0.4403,0.417,0.438,376428299.0,0.20082965860897284,0.19370654126320075,0.22292033556566193,0.03242999953377601,-0.06837679845224472,0.053265035935043135,0.6582054158807334,0.08604536147155112,0.33834000000000003,48.992654341231336,0.5212714285714285,0.5095579898491435,30.917661559073746,-0.07570579257931004,0.5555614285714287,0.5417737494477297,28.59946472708973,-0.06659020794049113,0.6130496428571428,0.5927935671637818,30.67872267432204,-0.054321935377988795,0.17527508984727774,0.17555771096023093,0.3184784905964513,0.3256884648018915,0.4936667011374893,0.5486898122770654,0.7353797952611951,0.44571437012873333
